s,x,y,tx,ty
7.263919,1.820000,12.980000,-1.000000,0.000000
7.283919,1.800000,12.980000,-1.000000,0.000000
7.303919,1.780000,12.980000,-1.000000,0.000000
7.323919,1.760000,12.980000,-1.000000,0.000000
7.343919,1.740000,12.980000,-1.000000,0.000000
7.363919,1.720000,12.980000,-1.000000,0.000000
7.383919,1.700000,12.980000,-1.000000,0.000000
7.403919,1.680000,12.980000,-1.000000,0.000000
7.423919,1.660000,12.980000,-1.000000,0.000000
7.443919,1.640000,12.980000,-1.000000,0.000000
7.463919,1.620000,12.980000,-1.000000,0.000000
7.483919,1.600000,12.980000,-1.000000,0.000000
7.503919,1.580000,12.980000,-1.000000,0.000000
7.523919,1.560000,12.980000,-1.000000,0.000000
7.543919,1.540000,12.980000,-1.000000,0.000000
7.563919,1.520000,12.980000,-1.000000,0.000000
7.583919,1.500000,12.980000,-1.000000,0.000000
7.603919,1.480000,12.980000,-1.000000,0.000000
7.623919,1.460000,12.980000,-1.000000,0.000000
7.643919,1.440000,12.980000,-1.000000,0.000000
7.663919,1.420000,12.980000,-1.000000,0.000000
7.683919,1.400000,12.980000,-1.000000,0.000000
7.703919,1.380000,12.980000,-1.000000,0.000000
7.723919,1.360000,12.980000,-1.000000,0.000000
7.743919,1.340000,12.980000,-1.000000,0.000000
7.763919,1.320000,12.980000,-1.000000,0.000000
7.783919,1.300000,12.980000,-1.000000,0.000000
7.803919,1.280000,12.980000,-1.000000,0.000000
7.823919,1.260000,12.980000,-1.000000,0.000000
7.843919,1.240000,12.980000,-1.000000,0.000000
7.863919,1.220000,12.980000,-1.000000,0.000000
7.883919,1.200000,12.980000,-1.000000,0.000000
7.903919,1.180000,12.980000,-1.000000,0.000000
7.923919,1.160000,12.980000,-1.000000,0.000000
7.943919,1.140000,12.980000,-1.000000,0.000000
7.963919,1.120000,12.980000,-0.948683,-0.316228
7.992203,1.100000,12.960000,-0.948683,-0.316228
8.012203,1.080000,12.960000,-1.000000,0.000000
8.032203,1.060000,12.960000,-1.000000,0.000000
8.052203,1.040000,12.960000,-1.000000,0.000000
8.072203,1.020000,12.960000,-1.000000,0.000000
8.092203,1.000000,12.960000,-1.000000,0.000000
8.112203,0.980000,12.960000,-1.000000,0.000000
8.132203,0.960000,12.960000,-1.000000,0.000000
8.152203,0.940000,12.960000,-1.000000,0.000000
8.172203,0.920000,12.960000,-1.000000,0.000000
8.192203,0.900000,12.960000,-1.000000,0.000000
8.212203,0.880000,12.960000,-1.000000,0.000000
8.232203,0.860000,12.960000,-1.000000,0.000000
8.252203,0.840000,12.960000,-0.948683,-0.316228
8.280488,0.820000,12.940000,-0.948683,-0.316228
8.300488,0.800000,12.940000,-1.000000,0.000000
8.320488,0.780000,12.940000,-1.000000,0.000000
8.340488,0.760000,12.940000,-1.000000,0.000000
8.360488,0.740000,12.940000,-1.000000,0.000000
8.380488,0.720000,12.940000,-1.000000,0.000000
8.400488,0.700000,12.940000,-1.000000,0.000000
8.420488,0.680000,12.940000,-1.000000,0.000000
8.440488,0.660000,12.940000,-1.000000,0.000000
8.460488,0.640000,12.940000,-0.948683,-0.316228
8.488772,0.620000,12.920000,-0.948683,-0.316228
8.508772,0.600000,12.920000,-1.000000,0.000000
8.528772,0.580000,12.920000,-1.000000,0.000000
8.548772,0.560000,12.920000,-1.000000,0.000000
8.568772,0.540000,12.920000,-1.000000,0.000000
8.588772,0.520000,12.920000,-1.000000,0.000000
8.608772,0.500000,12.920000,-1.000000,0.000000
8.628772,0.480000,12.920000,-0.948683,-0.316228
8.657056,0.460000,12.900000,-0.948683,-0.316228
8.677056,0.440000,12.900000,-1.000000,0.000000
8.697056,0.420000,12.900000,-1.000000,0.000000
8.717056,0.400000,12.900000,-1.000000,0.000000
8.737056,0.380000,12.900000,-1.000000,0.000000
8.757056,0.360000,12.900000,-1.000000,0.000000
8.777056,0.340000,12.900000,-0.948683,-0.316228
8.805341,0.320000,12.880000,-0.948683,-0.316228
8.825341,0.300000,12.880000,-1.000000,0.000000
8.845341,0.280000,12.880000,-1.000000,0.000000
8.865341,0.260000,12.880000,-1.000000,0.000000
8.885341,0.240000,12.880000,-1.000000,0.000000
8.905341,0.220000,12.880000,-0.948683,-0.316228
8.933625,0.200000,12.860000,-0.948683,-0.316228
8.953625,0.180000,12.860000,-1.000000,0.000000
8.973625,0.160000,12.860000,-1.000000,0.000000
8.993625,0.140000,12.860000,-1.000000,0.000000
9.013625,0.120000,12.860000,-0.948683,-0.316228
9.041909,0.100000,12.840000,-0.948683,-0.316228
9.061909,0.080000,12.840000,-1.000000,0.000000
9.081909,0.060000,12.840000,-1.000000,0.000000
9.101909,0.040000,12.840000,-1.000000,0.000000
9.121909,0.020000,12.840000,-1.000000,0.000000
9.141909,0.000000,12.840000,-0.948683,-0.316228
9.170193,-0.020000,12.820000,-0.948683,-0.316228
9.190193,-0.040000,12.820000,-1.000000,0.000000
9.210193,-0.060000,12.820000,-1.000000,0.000000
9.230193,-0.080000,12.820000,-0.948683,-0.316228
9.258478,-0.100000,12.800000,-0.948683,-0.316228
9.278478,-0.120000,12.800000,-1.000000,0.000000
9.298478,-0.140000,12.800000,-1.000000,0.000000
9.318478,-0.160000,12.800000,-1.000000,0.000000
9.338478,-0.180000,12.800000,-0.948683,-0.316228
9.366762,-0.200000,12.780000,-0.948683,-0.316228
9.386762,-0.220000,12.780000,-1.000000,0.000000
9.406762,-0.240000,12.780000,-1.000000,0.000000
9.426762,-0.260000,12.780000,-0.948683,-0.316228
9.455046,-0.280000,12.760000,-0.948683,-0.316228
9.475046,-0.300000,12.760000,-1.000000,0.000000
9.495046,-0.320000,12.760000,-1.000000,0.000000
9.515046,-0.340000,12.760000,-0.948683,-0.316228
9.543330,-0.360000,12.740000,-0.948683,-0.316228
9.563330,-0.380000,12.740000,-1.000000,0.000000
9.583330,-0.400000,12.740000,-1.000000,0.000000
9.603330,-0.420000,12.740000,-0.948683,-0.316228
9.631615,-0.440000,12.720000,-0.948683,-0.316228
9.651615,-0.460000,12.720000,-1.000000,0.000000
9.671615,-0.480000,12.720000,-0.948683,-0.316228
9.699899,-0.500000,12.700000,-0.948683,-0.316228
9.719899,-0.520000,12.700000,-1.000000,0.000000
9.739899,-0.540000,12.700000,-1.000000,0.000000
9.759899,-0.560000,12.700000,-0.948683,-0.316228
9.788183,-0.580000,12.680000,-0.948683,-0.316228
9.808183,-0.600000,12.680000,-1.000000,0.000000
9.828183,-0.620000,12.680000,-0.948683,-0.316228
9.856468,-0.640000,12.660000,-0.948683,-0.316228
9.876468,-0.660000,12.660000,-1.000000,0.000000
9.896468,-0.680000,12.660000,-1.000000,0.000000
9.916468,-0.700000,12.660000,-0.948683,-0.316228
9.944752,-0.720000,12.640000,-0.948683,-0.316228
9.964752,-0.740000,12.640000,-1.000000,0.000000
9.984752,-0.760000,12.640000,-0.948683,-0.316228
10.013036,-0.780000,12.620000,-0.948683,-0.316228
10.033036,-0.800000,12.620000,-1.000000,0.000000
10.053036,-0.820000,12.620000,-0.948683,-0.316228
10.081320,-0.840000,12.600000,-0.948683,-0.316228
10.101320,-0.860000,12.600000,-1.000000,0.000000
10.121320,-0.880000,12.600000,-0.948683,-0.316228
10.149605,-0.900000,12.580000,-0.948683,-0.316228
10.169605,-0.920000,12.580000,-1.000000,0.000000
10.189605,-0.940000,12.580000,-0.948683,-0.316228
10.217889,-0.960000,12.560000,-0.948683,-0.316228
10.237889,-0.980000,12.560000,-0.948683,-0.316228
10.266173,-1.000000,12.540000,-0.948683,-0.316228
10.286173,-1.020000,12.540000,-1.000000,0.000000
10.306173,-1.040000,12.540000,-0.948683,-0.316228
10.334457,-1.060000,12.520000,-0.948683,-0.316228
10.354457,-1.080000,12.520000,-1.000000,0.000000
10.374457,-1.100000,12.520000,-0.948683,-0.316228
10.402742,-1.120000,12.500000,-0.948683,-0.316228
10.422742,-1.140000,12.500000,-0.948683,-0.316228
10.451026,-1.160000,12.480000,-0.948683,-0.316228
10.471026,-1.180000,12.480000,-1.000000,0.000000
10.491026,-1.200000,12.480000,-0.948683,-0.316228
10.519310,-1.220000,12.460000,-0.948683,-0.316228
10.539310,-1.240000,12.460000,-0.948683,-0.316228
10.567595,-1.260000,12.440000,-0.948683,-0.316228
10.587595,-1.280000,12.440000,-1.000000,0.000000
10.607595,-1.300000,12.440000,-0.948683,-0.316228
10.635879,-1.320000,12.420000,-0.948683,-0.316228
10.655879,-1.340000,12.420000,-0.948683,-0.316228
10.684163,-1.360000,12.400000,-0.948683,-0.316228
10.704163,-1.380000,12.400000,-1.000000,0.000000
10.724163,-1.400000,12.400000,-0.948683,-0.316228
10.752447,-1.420000,12.380000,-0.948683,-0.316228
10.772447,-1.440000,12.380000,-0.948683,-0.316228
10.800732,-1.460000,12.360000,-0.707107,-0.707107
10.829016,-1.480000,12.340000,-0.316228,-0.948683
10.849016,-1.480000,12.320000,0.000000,-1.000000
10.869016,-1.480000,12.300000,-0.316228,-0.948683
10.897300,-1.500000,12.280000,-0.316228,-0.948683
10.917300,-1.500000,12.260000,0.000000,-1.000000
10.937300,-1.500000,12.240000,0.000000,-1.000000
10.957300,-1.500000,12.220000,-0.316228,-0.948683
10.985584,-1.520000,12.200000,-0.316228,-0.948683
11.005584,-1.520000,12.180000,0.000000,-1.000000
11.025584,-1.520000,12.160000,0.000000,-1.000000
11.045584,-1.520000,12.140000,-0.316228,-0.948683
11.073869,-1.540000,12.120000,-0.316228,-0.948683
11.093869,-1.540000,12.100000,0.000000,-1.000000
11.113869,-1.540000,12.080000,0.000000,-1.000000
11.133869,-1.540000,12.060000,0.000000,-1.000000
11.153869,-1.540000,12.040000,-0.316228,-0.948683
11.182153,-1.560000,12.020000,-0.316228,-0.948683
11.202153,-1.560000,12.000000,0.000000,-1.000000
11.222153,-1.560000,11.980000,0.000000,-1.000000
11.242153,-1.560000,11.960000,0.000000,-1.000000
11.262153,-1.560000,11.940000,-0.316228,-0.948683
11.290437,-1.580000,11.920000,-0.316228,-0.948683
11.310437,-1.580000,11.900000,0.000000,-1.000000
11.330437,-1.580000,11.880000,-0.000000,-1.000000
