s,x,y,tx,ty
7.084221,-18.783752,14.310409,-1.000000,0.000000
7.127171,-18.826702,14.310409,-0.948683,0.316228
7.187912,-18.869652,14.353359,-0.948683,0.316228
7.230862,-18.912602,14.353359,-1.000000,0.000000
7.273812,-18.955552,14.353359,-1.000000,0.000000
7.316762,-18.998502,14.353359,-1.000000,0.000000
7.359712,-19.041452,14.353359,-1.000000,0.000000
7.402662,-19.084402,14.353359,-0.948683,0.316228
7.463402,-19.127352,14.396309,-0.948683,0.316228
7.506352,-19.170302,14.396309,-1.000000,-0.000000
7.549302,-19.213252,14.396309,-1.000000,0.000000
7.592252,-19.256202,14.396309,-1.000000,0.000000
7.635202,-19.299152,14.396309,-0.948683,0.316228
7.695943,-19.342102,14.439259,-0.948683,0.316228
7.738893,-19.385052,14.439259,-1.000000,0.000000
7.781843,-19.428002,14.439259,-1.000000,0.000000
7.824793,-19.470952,14.439259,-1.000000,0.000000
7.867743,-19.513902,14.439259,-1.000000,0.000000
7.910693,-19.556852,14.439259,-0.948683,0.316228
7.971433,-19.599802,14.482209,-0.948683,0.316228
8.014383,-19.642752,14.482209,-1.000000,0.000000
8.057333,-19.685702,14.482209,-1.000000,-0.000000
8.100283,-19.728652,14.482209,-1.000000,0.000000
8.143233,-19.771602,14.482209,-1.000000,0.000000
8.186183,-19.814552,14.482209,-0.948683,0.316228
8.246924,-19.857502,14.525159,-0.948683,0.316228
8.289874,-19.900452,14.525159,-1.000000,-0.000000
8.332824,-19.943402,14.525159,-1.000000,0.000000
8.375774,-19.986352,14.525159,-1.000000,0.000000
8.418724,-20.029302,14.525159,-1.000000,-0.000000
8.461674,-20.072252,14.525159,-1.000000,0.000000
8.504624,-20.115202,14.525159,-0.948683,0.316228
8.565364,-20.158152,14.568109,-0.948683,0.316228
8.608314,-20.201102,14.568109,-1.000000,0.000000
8.651264,-20.244052,14.568109,-1.000000,0.000000
8.694214,-20.287002,14.568109,-1.000000,0.000000
8.737164,-20.329952,14.568109,-1.000000,0.000000
8.780114,-20.372902,14.568109,-1.000000,0.000000
8.823064,-20.415852,14.568109,-1.000000,0.000000
8.866014,-20.458802,14.568109,-0.948683,0.316228
8.926755,-20.501752,14.611059,-0.948683,0.316228
8.969705,-20.544702,14.611059,-1.000000,0.000000
9.012655,-20.587652,14.611059,-1.000000,-0.000000
9.055605,-20.630602,14.611059,-1.000000,0.000000
9.098555,-20.673552,14.611059,-1.000000,0.000000
9.141505,-20.716502,14.611059,-0.948683,0.316228
9.202245,-20.759452,14.654009,-0.948683,0.316228
9.245195,-20.802402,14.654009,-1.000000,0.000000
9.288145,-20.845352,14.654009,-1.000000,0.000000
9.331095,-20.888302,14.654009,-1.000000,0.000000
9.374045,-20.931252,14.654009,-0.948683,0.316228
9.434786,-20.974202,14.696959,-0.948683,0.316228
9.477736,-21.017152,14.696959,-1.000000,0.000000
9.520686,-21.060102,14.696959,-1.000000,0.000000
9.563636,-21.103052,14.696959,-1.000000,-0.000000
9.606586,-21.146002,14.696959,-0.948683,0.316228
9.667326,-21.188952,14.739909,-0.948683,0.316228
9.710276,-21.231902,14.739909,-1.000000,0.000000
9.753226,-21.274852,14.739909,-1.000000,0.000000
9.796176,-21.317802,14.739909,-1.000000,0.000000
9.839126,-21.360752,14.739909,-1.000000,0.000000
9.882076,-21.403702,14.739909,-1.000000,0.000000
9.925026,-21.446652,14.739909,-0.948683,0.316228
9.985767,-21.489602,14.782859,-0.948683,0.316228
10.028717,-21.532552,14.782859,-1.000000,0.000000
10.071667,-21.575502,14.782859,-1.000000,0.000000
10.114617,-21.618452,14.782859,-1.000000,0.000000
10.157567,-21.661402,14.782859,-1.000000,0.000000
10.200517,-21.704352,14.782859,-0.948683,0.316228
10.261257,-21.747302,14.825809,-0.948683,0.316228
10.304207,-21.790252,14.825809,-1.000000,0.000000
10.347157,-21.833202,14.825809,-1.000000,0.000000
10.390107,-21.876152,14.825809,-1.000000,-0.000000
10.433057,-21.919102,14.825809,-1.000000,0.000000
10.476007,-21.962052,14.825809,-1.000000,0.000000
10.518957,-22.005002,14.825809,-1.000000,-0.000000
10.561907,-22.047952,14.825809,-0.948683,0.316228
10.622647,-22.090902,14.868759,-0.948683,0.316228
10.665597,-22.133852,14.868759,-1.000000,0.000000
10.708547,-22.176802,14.868759,-1.000000,0.000000
10.751497,-22.219752,14.868759,-1.000000,0.000000
10.794447,-22.262702,14.868759,-1.000000,0.000000
10.837397,-22.305652,14.868759,-1.000000,0.000000
10.880347,-22.348602,14.868759,-0.948683,0.316228
10.941088,-22.391552,14.911709,-0.948683,0.316228
10.984038,-22.434502,14.911709,-1.000000,0.000000
11.026988,-22.477452,14.911709,-1.000000,-0.000000
11.069938,-22.520402,14.911709,-1.000000,0.000000
